MSA,Unemp_2023,Unemp_2024,GDP_K,GDP_YoY,Per_Capita_Income,Income_YoY,Pop_2023,Pop_2024
AL-Birmingham,2.3,2.9,67728997,0.01590744422641044,66502,0.05570460209864581,1186201,1192583
AZ-Phoenix-Mesa,3.2,3.2,322794256,0.02932926636870326,66365,0.06090640236591804,5102020,5186958
CA-Fresno,7.4,7.9,47612742,0.03265121911434243,52728,0.0453608247422681,1183301,1189557
CA-Los Angeles,4.7,5.4,1075056705,0.009113117428177109,80898,0.05390828556539873,12886400,12927614
CA-Riverside,4.7,5.2,201185094,0.01122462071668018,52553,0.05299751542838815,4704354,4744214
CA-Sacramento,4.2,4.7,153782657,0.02228526080178317,70418,0.05666096455688607,2434464,2463127
CA-San Diego,3.7,4.3,261671687,0.01409343611511815,79122,0.06238251248724414,3285890,3298799
CA-San Francisco,3.6,4.2,681890371,0.03429820096114167,130730,0.0615337144341952,4609445,4648486
CA-San Jose,3.6,4.2,392455628,0.03371393926676203,148036,0.05806506947223977,1965478,1995484
CO-Denver-Aurora,3.2,4.2,258989249,0.03466607211247519,89297,0.03663760578586261,3020750,3052498
CT-Hartford,3.2,3.2,102764650,0.02280894100789377,75241,0.04962055688856659,1160000,1169048
DC-Washington,2.5,3,600169021,0.02735127247317881,89396,0.0577280310470083,6345881,6436489
FL-Jacksonville,3.1,3.5,104720125,0.04326374311545877,65324,0.05179770396251637,1723198,1760548
FL-Miami-Fort,2.5,2.9,431882272,0.0401760264916422,84302,0.07240809057371833,6334517,6457988
FL-Orlando,2.9,3.3,175313253,0.04503338516001087,57774,0.05784125240318594,2864544,2940513
FL-Tampa-St,3,3.5,198914787,0.04333329217657123,63789,0.06384149697303254,3374078,3424560
GA-Atlanta-Sandy,3.2,3.4,471655708,0.02091194574037614,68027,0.04915175817396666,6336015,6411149
IL-Chicago,4.4,5.1,725745075,0.01411162495677254,77429,0.05608521898059116,9337814,9408576
IN-Indianapolis,3.1,3.8,161812303,0.01896691021797547,72494,0.04240419872025303,2148172,2174833
KY-Louisville,3.8,4.5,79172814,0.01586308063791564,65205,0.05230456394035254,1377729,1394234
LA-New Orleans,3.9,4.4,79551971,0.05029307071560929,66588,0.05895262479922403,967205,966230
MA-Boston,3.2,3.7,515386134,0.01492519355029942,100880,0.05164397556449773,4967266,5025517
MD-Baltimore,2.2,3.1,213539532,0.01600086879350582,76923,0.05983742077707355,2847687,2859024
MI-Detroit,3.6,4.5,276493740,0.01781663383713439,66098,0.05680709888880009,4369590,4400578
MI-Grand Rapids,3.4,4,66215291,0.01150010144744629,65239,0.04737670177241204,1167100,1178826
MN-Minneapolis,2.6,2.9,286739259,0.01950295273336855,79654,0.045945768498457,3722476,3757952
MO-Kansas City,3,3.6,152822300,0.02659257971080531,69865,0.05421595847416705,2228762,2253579
MO-St. Louis,3.3,3.7,184764129,0.02519521858658913,75577,0.06691418326580734,2805507,2811927
NC-Charlotte,3.3,3.6,206547241,0.04661813452213859,69588,0.05081316159038396,2822194,2883370
NC-Raleigh-Cary,3,3.1,110595313,0.04552584507144175,75129,0.05275769295443089,1522844,1562009
NJ-Newark,4.3,4.5,1905237359,0.01609320779206413,91448,0.06263217829835699,19726871,19940274
NV-Las Vegas,5.4,5.8,142816754,0.03150568165115963,63767,0.06131518066674424,2354285,2398871
NY-New York,4.3,4.5,1905237359,0.01609320779206413,91448,0.06263217829835699,19726871,19940274
OH-Cincinnati,3.5,4.2,160107599,0.0169521045660177,68560,0.05045428777176819,2282624,2302815
OH-Cleveland,3.7,3.8,139934845,0.005716393814899412,67451,0.05672881090396364,2166272,2171877
OH-Columbus,3.3,4,148019731,0.01765288584868796,65277,0.04759994222528929,2195029,2225377
OK-Oklahoma City,3,3.1,81586133,0.06910965061402607,64468,0.03656301250924532,1481480,1497821
OR-Portland,3.5,4,182035397,0.01787714017379272,74992,0.05567521150949495,2521668,2537904
PA-Philadelphia,3.7,3.8,459530623,0.02079240893118151,78761,0.05740753171779556,6280902,6330422
PA-Pittsburgh,3.7,3.6,159581389,0.02924727270550798,70559,0.05706367041198512,2429469,2429917
RI-Providence,3.4,4.5,90427093,0.01248545660027389,67405,0.04599556183175313,1688482,1700901
TN-Memphis,3.8,4.1,81215062,0.01896641139725896,60083,0.05053065934642342,1340448,1339345
TN-Nashville,2.6,2.8,168192268,0.03085816586848722,79453,0.05267829934947077,2113986,2150553
TX-Austin,3.5,3.5,207470114,0.04506084077226635,80471,0.05884287951157252,2492618,2550637
TX-Dallas-Fort,3.8,3.9,613381002,0.03182224570945635,74165,0.04624261148024322,8166110,8344032
TX-Houston,4.2,4.4,550795536,0.05391730805938022,72453,0.05297349145448194,7598011,7796182
TX-San Antonio,3.7,3.8,150320285,0.04596187984126532,59477,0.05097893695221933,2715709,2763006
UT-Salt Lake City,2.7,3.2,117972899,0.03170164505800255,70395,0.05847592698403159,1282681,1300762
VA-Richmond,2.8,3,94823373,0.00997741669854646,71794,0.05883046972937089,1353426,1370165
VA-Virginia Beach,2.9,3.1,104035162,0.03152975063601571,62575,0.06763235570114823,1788412,1794278
WA-Seattle,4,4.2,487774172,0.06160106379190822,99339,0.07636714305836967,4078828,4145494
WI-Milwaukee,3,3.2,106610894,0.01386847463992047,72316,0.05209863970320794,1567889,1574452